latitude, longitude, name
39.67714, -78.45828, 49D-L
39.68666, -78.43926, 49E-BR
39.70235, -78.35385, 49F-R
39.70107, -78.35380, 49G-L
39.70508, -78.32892, 49H-S
39.70546, -78.29757, 49I-R
39.69935, -78.18212, 49J-L
39.72579, -78.16859, 50A-R
39.73028, -78.14480, 50B-R
39.72381, -78.11260, 50C-R
39.72256, -78.11324, 50D-L
39.71740, -78.11063, 50E-L
39.71048, -78.10174, 50F-L
39.71219, -78.08778, 50G-R
39.70533, -78.07443, 50H-BL
39.70514, -78.07426, 50I-L
39.72358, -78.06014, 50J-R
39.86726, -77.96551, 50K-R
39.82574, -77.90376, 50L-BL
39.73846, -77.53229, 50M-BR
39.73845, -77.48078, 51A-R
39.74300, -77.41540, 51B-L
39.76881, -77.38525, 51C-R
39.76622, -77.38188, 51D-L
39.79549, -77.35740, 51E-R
39.76899, -77.31375, 51F-L
39.79421, -77.23122, 51G-R
39.79222, -77.23099, 51H-L
39.78506, -77.19538, 51I-L
39.79189, -77.19190, 51J-R
39.74479, -77.08828, 51K-L
39.79365, -76.99102, 51L-R
39.78720, -76.98413, 51M-L
39.79291, -76.97517, 51N-R
39.66438, -76.88663, 52A-R
39.35436, -77.17017, 52B-L
39.35400, -77.16982, 52C-L
39.35922, -77.15909, 53A-R
39.35285, -77.15759, 53B-BL
39.34624, -77.15831, 53C-L
39.33943, -77.15304, 53D-R
39.27413, -77.15552, 53E-L
39.25483, -77.14373, 53F-S
39.22161, -77.05999, 53G-S
39.19925, -77.02431, 53H-BR
39.19299, -77.02656, 53I-L
39.20006, -76.98017, 53J-R
39.10146, -76.85615, 53K-L
39.08959, -76.75834, 53L-S
39.08823, -76.72166, 53M-BR
39.09101, -76.71564, 53N-R
39.05717, -76.65760, 54A-S
39.05949, -76.62785, 54B-R
39.04141, -76.60641, 54C-L
38.99123, -76.54971, 55A-L
38.98204, -76.49597, 55B-BR
38.98027, -76.49503, 55C-S
38.97867, -76.49331, 55D-R
38.97810, -76.49242, 55E-R
38.97610, -76.48910, 55F-L
38.97727, -76.48770, 55G-R
38.97783, -76.48684, 55H-R
