latitude,longitude,name
33.29573,-117.26538,322
33.29588,-117.26534,323
33.296,-117.26535,324
33.29613,-117.26544,325
33.29621,-117.26552,326
33.29651,-117.26598,327
33.29664,-117.26615,328
33.29696,-117.26651,329
33.29713,-117.26666,330
33.29761,-117.26692,331
33.29795,-117.2671,332
33.29831,-117.26734,333
33.29861,-117.26749,334
33.29977,-117.26797,335
33.30003,-117.26811,336
33.30019,-117.26817,337
33.30045,-117.26817,338
33.30068,-117.26808,339
33.30092,-117.26793,340
33.30109,-117.26779,341
33.30127,-117.26758,342
33.30144,-117.26729,343
33.30154,-117.26701,344
33.30163,-117.2666,345
33.30173,-117.26589,346
33.30216,-117.26284,347
33.30221,-117.26266,348
33.30231,-117.26252,349
33.30241,-117.26243,350
33.30254,-117.26238,351
33.30269,-117.26239,352
33.30271,-117.26231,353
33.30271,-117.26225,354
33.3021,-117.26148,355
33.30194,-117.26119,356
33.30185,-117.26094,357
33.30181,-117.26072,358
33.3018,-117.26038,359
33.30186,-117.25992,360
33.30206,-117.25857,361
33.30209,-117.25809,362
33.30207,-117.25772,363
33.30201,-117.25731,364
33.30188,-117.25674,365
33.30177,-117.25626,366
33.30171,-117.25585,367
33.30167,-117.2555,368
33.3016,-117.25421,369
33.3016,-117.25384,370
33.30174,-117.25284,371
33.30189,-117.25174,372
33.30191,-117.25151,373
33.30189,-117.25132,374
33.30184,-117.25115,375
33.30176,-117.25095,376
33.30138,-117.25038,377
33.30129,-117.25017,378
33.30125,-117.24993,379
33.30127,-117.24967,380
33.30139,-117.24885,381
33.30149,-117.24831,382
33.30149,-117.24813,383
33.30145,-117.24794,384
33.30125,-117.24748,385
33.30118,-117.24718,386
33.30121,-117.24693,387
33.3013,-117.24669,388
33.30145,-117.24643,389
33.30161,-117.24624,390
33.30174,-117.24617,391
33.30195,-117.24617,392
33.30211,-117.24627,393
33.30226,-117.24645,394
33.3025,-117.24685,395
33.30263,-117.24701,396
33.30288,-117.24715,397
33.30314,-117.24722,398
33.30343,-117.2472,399
33.30363,-117.24712,400
33.30378,-117.247,401
33.3039,-117.24681,402
33.30402,-117.24652,403
33.30416,-117.24624,404
33.30434,-117.24608,405
33.30451,-117.24602,406
33.30466,-117.24591,407
33.30488,-117.24569,408
33.30505,-117.24559,409
33.30528,-117.24554,410
33.30595,-117.24565,411
33.30616,-117.24565,412
33.30626,-117.24548,413
33.3063,-117.24529,414
33.30623,-117.24522,415
33.30495,-117.24499,416
33.30467,-117.24489,417
33.30452,-117.2448,418
33.30436,-117.24469,419
33.30404,-117.24432,420
33.30335,-117.2431,421
33.30318,-117.24288,422
33.303,-117.24273,423
33.30268,-117.24257,424
33.30237,-117.2425,425
33.30156,-117.24249,426
33.30123,-117.24243,427
33.30037,-117.2422,428
33.30007,-117.24218,429
33.29883,-117.24237,430
33.29813,-117.24257,431
33.2974,-117.2429,432
33.2971,-117.24298,433
33.29688,-117.24299,434
33.29664,-117.24296,435
33.29605,-117.24276,436
33.29564,-117.24276,437
33.29525,-117.24283,438
33.29507,-117.24291,439
33.29495,-117.24302,440
33.29487,-117.24313,441
33.29478,-117.2432,442
33.29467,-117.2432,443
33.29433,-117.24303,444
33.29404,-117.24302,445
33.2939,-117.24311,446
33.29379,-117.2432,447
33.29367,-117.24322,448
33.29359,-117.24313,449
33.29317,-117.24162,450
33.29315,-117.24119,451
33.29321,-117.24084,452
33.29316,-117.24053,453
33.29296,-117.24008,454
33.29288,-117.23952,455
33.29272,-117.23907,456
33.29255,-117.23871,457
33.2925,-117.23813,458
33.29263,-117.23769,459
33.29266,-117.23754,460
33.29299,-117.23696,461
33.29315,-117.23668,462
33.29338,-117.23569,463
33.29337,-117.23551,464
33.29329,-117.23539,465
33.29323,-117.23533,466
33.29307,-117.23525,467
33.29284,-117.23521,468
33.29258,-117.23517,469
33.29216,-117.2351,470
33.29187,-117.23496,471
33.29142,-117.23462,472
33.29125,-117.23446,473
33.29102,-117.23433,474
33.29065,-117.23416,475
33.29047,-117.23402,476
33.29031,-117.23383,477
33.29021,-117.23354,478
33.28971,-117.23133,479
33.28963,-117.23086,480
33.28957,-117.22976,481
33.28937,-117.22765,482
33.2893,-117.22738,483
33.28891,-117.22586,484
33.28872,-117.22508,485
33.28843,-117.2243,486
33.28793,-117.22269,487
33.28756,-117.22146,488
33.28755,-117.22114,489
33.28762,-117.22093,490
33.28779,-117.22072,491
33.28808,-117.22054,492
33.28838,-117.22024,493
33.28858,-117.21998,494
33.28877,-117.21957,495
33.28914,-117.21858,496
33.28968,-117.21731,497
33.29006,-117.2166,498
33.29018,-117.21622,499
33.2903,-117.2157,500
33.29035,-117.2154,501
33.29038,-117.21495,502
33.29036,-117.21455,503
33.29031,-117.21421,504
33.29022,-117.21387,505
33.29011,-117.21355,506
33.28991,-117.21315,507
33.2892,-117.21197,508
33.28854,-117.21101,509
33.28822,-117.21065,510
33.28743,-117.20996,511
33.28664,-117.20921,512
33.28645,-117.20901,513
33.28621,-117.2087,514
33.28483,-117.20628,515
33.28422,-117.20506,516
33.28399,-117.20452,517
33.28313,-117.20203,518
33.28303,-117.20162,519
33.28279,-117.20027,520
33.28248,-117.19882,521
33.2824,-117.1982,522
33.28238,-117.19749,523
33.28238,-117.19613,524
33.28237,-117.19588,525
33.28231,-117.19571,526
33.28224,-117.19563,527
33.28197,-117.19541,528
33.28183,-117.1952,529
33.28174,-117.19497,530
33.2817,-117.19471,531
33.28172,-117.19355,532
33.28176,-117.19319,533
33.28191,-117.19247,534
33.28192,-117.19142,535
33.28189,-117.18968,536
33.28188,-117.18874,537
33.28189,-117.18798,538
33.28185,-117.18767,539
33.28177,-117.18739,540
33.28165,-117.18715,541
33.28146,-117.18691,542
